p      n      T                           PI-Ref            PI-Int            PI-Der
4-2    32768  0.1825890000000000         3.141592653589793 3.141592653589795 -1.7763568394002505E-15
4-2    16384  0.1123590000000000         3.141592653589793 3.141592653589792 8.8817841970012523E-16
4-2    8192   7.5804000000000000E-02     3.141592653589793 3.141592653589794 -8.8817841970012523E-16
4-2    4096   5.8333999999999993E-02     3.141592653589793 3.14159265358979  0.0000000000000000E+00
4-2    2048   5.0457000000000001E-02     3.141592653589793 3.14159265358979  0.0000000000000000E+00
4-2    1024   4.4671000000000003E-02     3.141592653589793 3.14159265358979  0.0000000000000000E+00
4-2    512    4.3229999999999995E-02     3.141592653589793 3.141592653589794 -4.4408920985006262E-16
4-2    256    4.1674000000000007E-02     3.141592653589793 3.141592653589794 -4.4408920985006262E-16
4-2    128    4.1802000000000001E-02     3.141592653589793 3.141592653589784 8.8817841970012523E-15
4-2    64     4.0670000000000002E-02     3.141592653589793 3.141592653589216 5.7687188359523134E-13
4-2    32     4.0156999999999998E-02     3.141592653589793 3.141592653552836 3.6956659954512361E-11
4-2    16     3.9962000000000000E-02     3.141592653589793 3.141592651224822 2.3649713298823372E-09
