n np hosts result T1 T2 T3 Mittel
40000 1 1 0 6.3652 4.24085 4.23752 4.9478566667
36000 1 1 0 3.43234 3.41112 3.47028 3.4379133333
32000 1 1 0 2.72709 2.70836 2.70328 2.71291
28000 1 1 0 2.35283 2.09703 2.08988 2.1799133333
24000 1 1 0 1.51859 1.51646 1.52718 1.5207433333
20000 1 1 0 1.05953 1.07108 1.06718 1.06593
16000 1 1 0 0.68058 0.678851 0.675326 0.6782523333
12000 1 1 0 0.386349 0.386026 0.388236 0.3868703333
8000 1 1 0 0.172788 0.172211 0.172589 0.1725293333
4000 1 1 0 0.0450079 0.0447207 0.044121 0.0446165333
100 1 1 0 0.00107703 0.00109519 0.000875615 0.001015945
