n       np  hosts   result   T1    T2     T3
40000   2   22      1       7.17977      5.62175       5.63257   
36000   2   22      1       4.54186      4.58985       4.55729    
32000   2   22      1       3.61374      3.58785       3.5984    
28000   2   22      1       2.78804      2.74873       2.75543
24000   2   22      1       2.02909      2.03515       2.02572
20000   2   22      1       1.42435      1.40632       1.41648
16000   2   22      1       0.924429     0.916997      0.911815
12000   2   22      1       0.513388     0.516902      0.514275
8000    2   22      1       0.230843     0.228636      0.231013
4000    2   22      1       0.0585483    0.0596453     0.0582755
100     2   22      1       0.000793217  0.000950871   0.000716083
