n       np  hosts   result   T1    T2     T3     optional_positions
40000   2   22      2       6.3689          6.35753         6.35517     ""
40000   2   22      1       9.05856         9.04702         9.04272      ""
40000   2   22      0       6.35971         6.35729         6.34647      "39997 39997 39999 39999"
36000   2   22      2       5.16369         5.16457         5.16072      ""
36000   2   22      1       7.34268         7.33641         7.33115      ""
36000   2   22      0       5.15887         5.1567          5.1609     "35997 35997 35999 35999"
32000   2   22      2       4.10151         4.0839          4.08668     ""
32000   2   22      1       5.81375         5.83066         5.81589      ""
32000   2   22      0       4.09935         4.08843         4.08679      "31997 31997 31999 31999"
28000   2   22      2       3.14748         3.14764         3.14201      ""
28000   2   22      1       4.46657         4.45768         4.45573      ""
28000   2   22      0       3.1463          3.13934         3.14064     "27997 27997 27999 27999"
24000   2   22      2       2.32662         2.31702         2.32763      ""
24000   2   22      1       3.28372         3.28674         3.28217      ""
24000   2   22      0       2.32475         2.32311         2.32371      "23997 23997 23999 23999"
20000   2   22      2       1.62073         1.62965         1.62088      ""
20000   2   22      1       2.29176         2.2995          2.29129     ""
20000   2   22      0       1.63511         1.62139         1.62071      "19997 19997 19999 19999"
16000   2   22      2       1.05724         1.05511         1.04694      ""
16000   2   22      1       1.48204         1.45148         1.46275      ""
16000   2   22      0       1.04918         1.05495         1.05467      "15997 15997 15999 15999"
12000   2   22      2       0.618183        0.612816        0.609865        ""
12000   2   22      1       0.849137        0.8507          0.858532      ""
12000   2   22      0       0.601534        0.612153        0.610477        "11997 11997 11999 11999"
8000    2   22      2       0.29785         0.293225        0.296313       ""
8000    2   22      1       0.400564        0.400402        0.400254      ""
8000    2   22      0       0.291567        0.294641        0.294716      "7997 7997 7999 7999"
4000    2   22      2       0.0969252       0.093443        0.096488       ""
4000    2   22      1       0.131852        0.124185        0.12844      ""
4000    2   22      0       0.100853        0.0967779       0.102729       "3997 3997 3999 3999"
100     2   22      2       0.00142817      0.00113649      0.00108553      ""
100     2   22      1       0.00106005      0.000814152     0.000840956       ""
100     2   22      0       0.00113307      0.000798756     0.000755295       "97 97 99 99"


































































