n       np  hosts   result   T_1(n)_in_s    T_2(n)_in_s     T_3(n)_in_s     optional_positions
40000   4   22      2        7.72651        8.63042         4.16643  ""
40000   4   22      1        10.9228        10.1089         5.59393   ""
40000   4   22      0        8.7567         8.41246         4.17662   "39997 39997 39999 39999"
36000   4   22      2        6.01721        6.6496          6.27341   ""
36000   4   22      1        8.51294        8.35665         7.47714   ""
36000   4   22      0        6.54452        6.55756         3.3758    "35997 35997 35999 35999"
32000   4   22      2        5.88911        4.81118         2.6841    ""
32000   4   22      1        6.75343        7.34641         3.59238   ""
32000   4   22      0        5.39265        5.04289         2.68251   "31997 31997 31999 31999"
28000   4   22      2        4.72821        5.08157         2.06734   ""
28000   4   22      1        6.1453         5.20683         5.29583   ""
28000   4   22      0        4.05612        4.54738         3.36571  "27997 27997 27999 27999"
24000   4   22      2        3.17136        3.06221         1.52736   ""
24000   4   22      1        3.66556        3.93155         2.04689   ""
24000   4   22      0        2.71532        3.18371         1.52456   "23997 23997 23999 23999"
20000   4   22      2        2.30869        1.94347         1.07378   ""
20000   4   22      1        2.78146        3.18993         1.41668  ""
20000   4   22      0        2.21503        2.07012         1.06957   "19997 19997 19999 19999"
16000   4   22      2        1.20252        1.22828         0.69238   ""
16000   4   22      1        2.0314         1.9078          0.922048   ""
16000   4   22      0        1.77654        1.13205         0.691198   "15997 15997 15999 15999"
12000   4   22      2        1.84939        0.769767        0.399108       ""
12000   4   22      1        1.30619        1.03899         0.531967    ""
12000   4   22      0        1.46566        0.755968        0.400204       "11997 11997 11999 11999"
8000    4   22      2        0.377158       0.365839        0.194052      ""
8000    4   22      1        0.431524       0.931334        0.251651     ""
8000    4   22      0        0.39451        0.362462        0.190909     "7997 7997 7999 7999"
4000    4   22      2        0.40014        0.11249         0.05952     ""
4000    4   22      1        0.146757       0.575836        0.0783246    ""
4000    4   22      0        0.101764       0.115626        0.0621571      "3997 3997 3999 3999"
100     4   22      2        0.0274116      0.0706465       0.00110023      ""
100     4   22      1        0.0200626      0.0120691       0.000813902       ""
100     4   22      0        0.0120985      0.0359971       0.000872024       "97 97 99 99"







































































































