n       np  hosts   result   T1    T2     T3     optional_positions
40000   4   22      1        10.9228        10.1089         5.59393   ""
36000   4   22      1        8.51294        8.35665         7.47714   ""
32000   4   22      1        6.75343        7.34641         3.59238   ""
28000   4   22      1        6.1453         5.20683         5.29583   ""
24000   4   22      1        3.66556        3.93155         2.04689   ""
20000   4   22      1        2.78146        3.18993         1.41668  ""
16000   4   22      1        2.0314         1.9078          0.922048   ""
12000   4   22      1        1.30619        1.03899         0.531967    ""
8000    4   22      1        0.431524       0.931334        0.251651     ""
4000    4   22      1        0.146757       0.575836        0.0783246    ""
100     4   22      1        0.0200626      0.0120691       0.000813902       ""






































































































