n       np  hosts   result   T_1(n)_in_s    T_2(n)_in_s     T_3(n)_in_s     optional_positions
40000    2   22      2       6.31442        6.3078          6.32437         ""
40000    2   22      1       9.00181        8.99743         9.00328         ""
40000    2   22      0       6.22503        6.21639         6.21909         "3997 3997 3999 3999"
40000    2   20      2       6.32036        6.30603         6.31345         ""
40000    2   20      1       9.00032        9.01191         9.00064         ""
40000    2   20      0       6.22738        6.22252         6.22283         "3997 3997 3999 3999"
40000    2   18      2       6.31828        6.32074         6.31154         ""
40000    2   18      1       9.00262        8.99579         8.99384         ""
40000    2   18      0       6.23127        6.22556         6.22444         "3997 3997 3999 3999"
40000    2   16      2       6.30582        6.31027         6.31037         ""
40000    2   16      1       9.01605        8.99482         9.00082         ""
40000    2   16      0       6.22803        6.22237         6.22319         "3997 3997 3999 3999"
40000    2   14      2       6.31644        6.31322         6.35978         ""
40000    2   14      1       9.03735        9.00307         9.12255         ""
40000    2   14      0       6.22645        6.22226         6.24253         "3997 3997 3999 3999"
40000    2   12      2       6.28369        6.30959         6.29696         ""
40000    2   12      1       8.99476        9.00208         9.00004         ""
40000    2   12      0       6.21157        6.22869         6.22785         "3997 3997 3999 3999"
40000    2   10      2       6.32723        6.33075         6.31032         ""
40000    2   10      1       9.00062        9.00517         8.99732         ""
40000    2   10      0       6.21972        6.21851         6.22168         "3997 3997 3999 3999"
40000    2   8       2       6.30183        6.3038          6.30101         ""
40000    2   8       1       9.00684        8.98715         9.00352         ""
40000    2   8       0       6.22023        6.2192          6.23371         "3997 3997 3999 3999"
40000    2   6       2       6.2991         6.31075         6.30808         ""
40000    2   6       1       8.99101        8.998           9.00895         ""
40000    2   6       0       6.22344        6.22558         6.21887         "3997 3997 3999 3999"
40000    2   4       2       6.31056        6.31169         6.31282         ""
40000    2   4       1       8.99571        8.99641         8.99112         ""
40000    2   4       0       6.2181         6.21516         6.22693         "3997 3997 3999 3999"
40000    2   2       2       6.32368        6.29979         6.30357         ""
40000    2   2       1       9.01235        8.99999         8.99759         ""
40000    2   2       0       6.21754        6.2134          6.22044         "3997 3997 3999 3999"
40000    1   1       2       10.7772        10.751          10.7322         ""
40000    1   1       1       15.9798        15.9743         15.9767         "" TODO: replace this with fix-measure
40000    1   1       0       2.47519        2.47886         2.50532         "3997 3997 3999 3999"












































































































