n np hosts result T1 T2 T3 Mittel p SpeedUp Effizienz
10000 2 22 1 1.77979 1.80091 1.81887  1.7998566667 44 0.5574882815 0.0126701882
10000 2 20 1 1.78916 1.80369 1.77668  1.7898433333 40 0.5606071667 0.0140151792
10000 2 18 1 1.75405 1.78806 1.76152  1.7678766667 36 0.5675729642 0.0157659157
10000 2 16 1 1.7859 1.78271 1.76726  1.7786233333 32 0.5641436167 0.017629488
10000 2 14 1 1.76278 1.74674 1.75093  1.7534833333 28 0.5722318433 0.0204368515
10000 2 12 1 1.7335 1.74313 1.72847  1.7350333333 24 0.5783168431 0.0240965351
10000 2 10 1 1.70522 1.70504 1.70008  1.7034466667 20 0.5890404552 0.0294520228
10000 2 8 1 1.67319 1.66649 1.66903  1.66957 16 0.6009924711 0.0375620294
10000 2 6 1 1.60605 1.61127 1.60698  1.6081 12 0.6239655494 0.0519971291
10000 2 4 1 1.50373 1.50866 1.51291  1.5084333333 8 0.6651928049 0.0831491006
10000 2 2 1 1.19801 1.199 1.20472  1.2005766667 4 0.8357642022 0.2089410506
10000 1 1 1 1.0381 1.00117 0.970927  1.003399 1 1 1
