n       np  hosts   result   T1    T2     T3     optional_positions
40000    2   22      2       6.13751        6.13297         6.13104         ""
40000    2   22      1       8.60453        8.59688         8.5947          ""
40000    2   22      0       6.03757        6.04226         6.04043         "3997 3997 3999 3999"
40000    2   20      2       6.1314         6.13361         6.12877         ""
40000    2   20      1       8.59812        8.60804         8.59556         ""
40000    2   20      0       6.04437        6.03728         6.04902         "3997 3997 3999 3999"
40000    2   18      2       6.13752        6.13513         6.13662         ""
40000    2   18      1       8.59259        8.59834         8.57982         ""
40000    2   18      0       6.04551        6.04779         6.05039         "3997 3997 3999 3999"
40000    2   16      2       6.13403        6.13665         6.12933         ""
40000    2   16      1       8.59678        8.60068         8.60421         ""
40000    2   16      0       6.04811        6.05039         6.04917         "3997 3997 3999 3999"
40000    2   14      2       6.1323         6.13199         6.14024         ""
40000    2   14      1       8.59846        8.60232         8.60154         ""
40000    2   14      0       6.04512        6.04763         6.04579         "3997 3997 3999 3999"
40000    2   12      2       6.13093        6.12751         6.12564         ""
40000    2   12      1       8.59597        8.60695         8.59247         ""
40000    2   12      0       6.06163        6.04677         6.0406          "3997 3997 3999 3999"
40000    2   10      2       6.12686        6.14191         6.12863         ""
40000    2   10      1       8.59496        8.58845         8.59252         ""
40000    2   10      0       6.04393        6.03635         6.03703         "3997 3997 3999 3999"
40000    2   8       2       6.11453        6.13753         6.12448         ""
40000    2   8       1       8.58162        8.59445         8.60017         ""
40000    2   8       0       6.04006        6.04261         6.05006         "3997 3997 3999 3999"
40000    2   6       2       6.13302        6.11987         6.12998         ""
40000    2   6       1       8.59351        8.58983         8.5852          ""
40000    2   6       0       6.04704        6.04128         6.04362         "3997 3997 3999 3999"
40000    2   4       2       6.12744        6.11708         6.12542         ""
40000    2   4       1       8.60251        8.59857         8.59142         ""
40000    2   4       0       6.0302         6.06648         6.05822         "3997 3997 3999 3999"
40000    2   2       2       6.10661        6.12386         6.11845         ""
40000    2   2       1       8.5987         8.59934         8.5956          ""
40000    2   2       0       6.05567        6.03239         6.03419         "3997 3997 3999 3999"
40000    1   1       2       9.74759        9.68987         9.71355         ""
40000    1   1       1       14.7983        14.6306         14.4444         ""
40000    1   1       0       1.55022        1.55268         1.55653         "3997 3997 3999 3999"
