n np hosts result T1 T2 T3 Mittel p SpeedUp Effizienz
40000 2 22 0 27.3044 27.3014 27.3292 27.3116666667 44 0.0620020748 0.0014091381
40000 2 20 0 27.1877 27.1992 27.1959 27.1942666667 40 0.0622697431 0.0015567436
40000 2 18 0 27.0633 27.0436 27.0548 27.0539 36 0.062592824 0.0017386896
40000 2 16 0 26.8989 26.9072 26.9118 26.9059666667 32 0.0629369694 0.0019667803
40000 2 14 0 26.6731 26.6913 26.6785 26.6809666667 28 0.0634677154 0.0022667041
40000 2 12 0 26.4254 26.4213 26.4146 26.4204333333 24 0.064093574 0.0026705656
40000 2 10 0 26.0771 26.0651 26.0593 26.0671666667 20 0.064962181 0.0032481091
40000 2 8 0 25.5147 25.5094 25.5256  25.5165666667 16 0.0663639439 0.0041477465
40000 2 6 0 24.5946 24.5557 24.592   24.5807666667 12 0.0688904469 0.0057408706
40000 2 4 0 22.6794 22.6661 22.6707  22.6720666667 8 0.0746901473 0.0093362684
40000 2 2 0 17.2148 17.1995 17.1978  17.2040333333 4 0.0984292443 0.0246073111
40000 1 1 0 1.70066 1.71272 1.66676  1.69338 1 1 1
