n       np  hosts   result   T1    T2     T3     optional_positions
40000    2   22      1       8.60453        8.59688         8.5947          ""
40000    2   20      1       8.59812        8.60804         8.59556         ""
40000    2   18      1       8.59259        8.59834         8.57982         ""
40000    2   16      1       8.59678        8.60068         8.60421         ""
40000    2   14      1       8.59846        8.60232         8.60154         ""
40000    2   12      1       8.59597        8.60695         8.59247         ""
40000    2   10      1       8.59496        8.58845         8.59252         ""
40000    2   8       1       8.58162        8.59445         8.60017         ""
40000    2   6       1       8.59351        8.58983         8.5852          ""
40000    2   4       1       8.60251        8.59857         8.59142         ""
40000    2   2       1       8.5987         8.59934         8.5956          ""
40000    1   1       1       14.7983        14.6306         14.4444         ""
