n np hosts result T1 T2 T3  Mittel p SpeedUp Effizienz
40000 2 22 2 27.3009 27.2923 27.2929  27.2953666667 44 0.3677950226 0.0083589778
40000 2 20 2 27.19 27.1853 27.201  27.1921 40 0.3691917873 0.0092297947
40000 2 18 2 27.0624 27.0415 27.0399  27.0479333333 36 0.3711595957 0.0103099888
40000 2 16 2 26.9131 26.9065 26.934  26.9178666667 32 0.3729530324 0.0116547823
40000 2 14 2 26.6831 26.6977 26.7114  26.6974 28 0.3760328721 0.0134297454
40000 2 12 2 26.4097 26.4296 26.4145  26.4179333333 24 0.3800108007 0.0158337834
40000 2 10 2 26.0654 26.068 26.0791  26.0708333333 20 0.3850701614 0.0192535081
40000 2 8 2 25.5097 25.5076 25.5031  25.5068 16 0.39358524 0.0245990775
40000 2 6 2 24.5911 24.5866 24.6  24.5925666667 12 0.408216846 0.0340180705
40000 2 4 2 22.7586 22.7705 22.7527  22.7606 8 0.4410736097 0.0551342012
40000 2 2 2 17.2748 17.2927 17.2857  17.2844 4 0.5808185416 0.1452046354
40000 1 1 2 10.0478 10.0336 10.0359  10.0391 1 1 1
