n       np   hosts   result  T1       T2       T3      optional_positions
40000    2   22      2       4.17671  4.18049  8.17192 ""
40000    2   22      1       5.60099  5.60035  10.7938 ""
40000    2   22      0       4.08589  4.0787   7.41824 "3997 3997 3999 3999"
40000    2   20      2       4.18419  4.1739   8.42877 ""
40000    2   20      1       5.59105  5.60063  9.33383 ""
40000    2   20      0       7.81701  4.08116  4.08671 "3997 3997 3999 3999"
40000    2   18      2       4.17811  4.17892  4.17743 ""
40000    2   18      1       10.0872  5.5957   6.28192 ""
40000    2   18      0       7.51726  4.08204  7.98962 "3997 3997 3999 3999"
40000    2   16      2       4.82149  4.17376  8.58875 ""
40000    2   16      1       5.59714  5.59506  10.2162 ""
40000    2   16      0       4.0903   4.09086  7.67968 "3997 3997 3999 3999"
40000    2   14      2       4.1712   4.17821  9.21304 ""
40000    2   14      1       5.59004  5.60245  11.039  ""
40000    2   14      0       4.08495  4.09727  8.12212 "3997 3997 3999 3999"
40000    2   12      2       4.16602  4.18463  8.58002 ""
40000    2   12      1       5.59432  5.59612  10.2585 ""
40000    2   12      0       6.61476  4.08137  8.31414 "3997 3997 3999 3999"
40000    2   10      2       4.33319  4.17879  7.84513 ""
40000    2   10      1       7.72629  5.59491  10.9442 ""
40000    2   10      0       6.96659  4.08301  6.51126 "3997 3997 3999 3999"
40000    2   8       2       4.18452  4.16609  4.17676 ""
40000    2   8       1       8.49277  5.58601  5.60681 ""
40000    2   8       0       4.08181  4.07748  4.07066 "3997 3997 3999 3999"
40000    2   6       2       4.18078  4.17974  4.17226 ""
40000    2   6       1       5.59975  5.56908  5.60148 ""
40000    2   6       0       4.09787  4.45314  4.07563 "3997 3997 3999 3999"
40000    2   4       2       4.16842  4.17498  4.20687 ""
40000    2   4       1       5.58053  9.53664  5.60082 ""
40000    2   4       0       4.08192  8.08494  4.07878 "3997 3997 3999 3999"
40000    2   2       2       4.22908  8.05358  4.16699 ""
40000    2   2       1       5.65681  10.5321  5.58637 ""
40000    2   2       0       4.0846   8.18357  4.08127 "3997 3997 3999 3999"
40000    1   1       2       10.4174  10.21    10.1292 ""
40000    1   1       1       15.5844  15.6355  15.3473 ""
40000    1   1       0       1.69478  1.75744  1.67982 "3997 3997 3999 3999"













































































































