n       np   hosts   result  T1       T2       T3      optional_positions
40000    2   22      1       5.60099  5.60035  10.7938 ""
40000    2   20      1       5.59105  5.60063  9.33383 ""
40000    2   18      1       10.0872  5.5957   6.28192 ""
40000    2   16      1       5.59714  5.59506  10.2162 ""
40000    2   14      1       5.59004  5.60245  11.039  ""
40000    2   12      1       5.59432  5.59612  10.2585 ""
40000    2   10      1       7.72629  5.59491  10.9442 ""
40000    2   8       1       8.49277  5.58601  5.60681 ""
40000    2   6       1       5.59975  5.56908  5.60148 ""
40000    2   4       1       5.58053  9.53664  5.60082 ""
40000    2   2       1       5.65681  10.5321  5.58637 ""
40000    1   1       1       15.5844  15.6355  15.3473 ""
