TODO: make new measures with release version
"n","np","hosts","result","T_1(n) in s","T_2(n) in s","T_3(n) in s","optional positions"
"4000","2","23","2","0.247287","0.248647","0.247793",""
"4000","2","23","1","0.447932","0.448444","0.446778",""
"4000","2","23","0","0.246412","0.245893","0.249225","3997 3997 3999 3999"
"4000","2","20","2","0.246771","0.2464","0.24818",""
"4000","2","20","1","0.446652 ","0.452223","0.448552",""
"4000","2","20","0","0.244521","0.242099","0.2401","3997 3997 3999 3999"
"4000","2","17","2","0.250625","0.445883","0.251722",""
"4000","2","17","1","0.446652","0.43831","0.447382",""
"4000","2","17","0","0.244521","0.246333","0.244452","3997 3997 3999 3999"
"4000","2","14","2","0.254613","0.247277","0.243998",""
"4000","2","14","1","0.445077","0.447739","0.441469",""
"4000","2","14","0","0.245224","0.251311","0.241349","3997 3997 3999 3999"
"4000","2","11","2","0.243275","0.248618","0.244071",""
"4000","2","11","1","0.451548","0.438646","0.440625",""
"4000","2","11","0","0.241839","0.247003","0.245561","3997 3997 3999 3999"
"4000","2","8","2","0.249903","0.24174","0.243143",""
"4000","2","8","1","0.442323","0.443834","0.444075",""
"4000","2","8","0","0.239479","0.226553","0.239481","3997 3997 3999 3999"
"4000","2","5","2","0.245873","0.242479","0.234698",""
"4000","2","5","1","0.446691","0.443129","0.442039",""
"4000","2","5","0","0.241339","0.24077","0.238347","3997 3997 3999 3999"
"4000","2","2","2","0.24447","0.244328","0.232384",""
"4000","2","2","1","0.435995","0.439797","0.441557",""
"4000","2","2","0","0.236153","0.232525","0.232146","3997 3997 3999 3999"
"4000","1","1","2","0.350386","0.303529","0.332041",""
"4000","1","1","1","0.774363","0.704573","0.713855",""
"4000","1","1","0","0.310755","0.339538","0.326569","3997 3997 3999 3999"
